DATE,CORESTICKM159SFRBATL
1975-01-01,11.6922695686666667
1975-04-01,11.0452752866666667
1975-07-01,9.0935537643333333
1975-10-01,8.0018558446666667
1976-01-01,7.5185174053333333
1976-04-01,6.9469264173333333
1976-07-01,7.2239179366666667
1976-10-01,6.5877810053333333
1977-01-01,6.0793103823333333
1977-04-01,6.7578871136666667
1977-07-01,6.8729915143333333
1977-10-01,7.1201688066666667
1978-01-01,7.4063202490000000
1978-04-01,7.6034431246666667
1978-07-01,8.2496119490000000
1978-10-01,9.1236984493333333
1979-01-01,9.4532126840000000
1979-04-01,10.1056198620000000
1979-07-01,10.8260578943333333
1979-10-01,11.9977103373333333
1980-01-01,13.8294710823333333
1980-04-01,15.2482058346666667
1980-07-01,13.5431108160000000
1980-10-01,12.9279973533333333
1981-01-01,11.2338391670000000
1981-04-01,9.5495625023333333
1981-07-01,11.7966453326666667
1981-10-01,10.5793145066666667
1982-01-01,9.3291784166666667
1982-04-01,9.0356126133333333
1982-07-01,7.0891456986666667
1982-10-01,5.2825712200000000
1983-01-01,4.7264157223333333
1983-04-01,3.6167656470000000
1983-07-01,2.7093869146666667
1983-10-01,3.7701953373333333
1984-01-01,4.5548282756666667
1984-04-01,4.7139595206666667
1984-07-01,5.0235481563333333
1984-10-01,5.0419279416666667
1985-01-01,4.8534946560000000
1985-04-01,4.9492658506666667
1985-07-01,4.8936449460000000
1985-10-01,5.0242259933333333
1986-01-01,5.2172543230000000
1986-04-01,5.1512266066666667
1986-07-01,4.9255084823333333
1986-10-01,4.7113654066666667
1987-01-01,4.3955073346666667
1987-04-01,4.3167964350000000
1987-07-01,4.2461413876666667
1987-10-01,4.3201049586666667
1988-01-01,4.4073776846666667
1988-04-01,4.5063747263333333
1988-07-01,4.7096114463333333
1988-10-01,4.7222936386666667
1989-01-01,4.7698542933333333
1989-04-01,4.7107709856666667
1989-07-01,4.8184038296666667
1989-10-01,4.8237846116666667
1990-01-01,5.0216054016666667
1990-04-01,5.2887815026666667
1990-07-01,5.7798785970000000
1990-10-01,5.7311398630000000
1991-01-01,5.7396324466666667
1991-04-01,5.1702789713333333
1991-07-01,4.5384127906666667
1991-10-01,4.3490642863333333
1992-01-01,3.9795368280000000
1992-04-01,3.9637483380000000
1992-07-01,3.5977533543333333
1992-10-01,3.6006273780000000
1993-01-01,3.4937276893333333
1993-04-01,3.5190122850000000
1993-07-01,3.5386080276666667
1993-10-01,3.4787565583333333
1994-01-01,3.4626201696666667
1994-04-01,3.2699029300000000
1994-07-01,3.2772526803333333
1994-10-01,3.0788308970000000
1995-01-01,3.1612878363333333
1995-04-01,3.3458227330000000
1995-07-01,3.3419549673333333
1995-10-01,3.4239726320000000
1996-01-01,3.2411914993333333
1996-04-01,3.0509795630000000
1996-07-01,3.0920291900000000
1996-10-01,3.0058592670000000
1997-01-01,2.8695977226666667
1997-04-01,2.8832094266666667
1997-07-01,2.6639550710000000
1997-10-01,2.6117859570000000
1998-01-01,2.6904872060000000
1998-04-01,2.6274809870000000
1998-07-01,2.6201646356666667
1998-10-01,2.5073297896666667
1999-01-01,2.3203507666666667
1999-04-01,2.1598809000000000
1999-07-01,2.1050529666666667
1999-10-01,2.1360430666666667
2000-01-01,2.4147482666666667
2000-04-01,2.5712387666666667
2000-07-01,2.8393939000000000
2000-10-01,2.9321634000000000
2001-01-01,2.9500536333333333
2001-04-01,3.1323022000000000
2001-07-01,3.2938577666666667
2001-10-01,3.5603891666666667
2002-01-01,3.5291221666666667
2002-04-01,3.3973295666666667
2002-07-01,3.1561201333333333
2002-10-01,2.8612543666666667
2003-01-01,2.7066665666666667
2003-04-01,2.3597466000000000
2003-07-01,2.1956631000000000
2003-10-01,2.0579731333333333
2004-01-01,2.0486402333333333
2004-04-01,2.2917045000000000
2004-07-01,2.2539275333333333
2004-10-01,2.2841061333333333
2005-01-01,2.2827626000000000
2005-04-01,2.2656775666666667
2005-07-01,2.2998538333333333
2005-10-01,2.4086672333333333
2006-01-01,2.5104978333333333
2006-04-01,2.8330273000000000
2006-07-01,3.1770417333333333
2006-10-01,3.1878481000000000
2007-01-01,3.1387645333333333
2007-04-01,2.7935353000000000
2007-07-01,2.4956878666666667
2007-10-01,2.6241427000000000
2008-01-01,2.6841240333333333
2008-04-01,2.8188494666666667
2008-07-01,3.0584795333333333
2008-10-01,2.7820292666666667
2009-01-01,2.5217749666666667
2009-04-01,2.2516231000000000
2009-07-01,1.7696519666666667
2009-10-01,1.4057833666666667
2010-01-01,1.05456261000000000000
2010-04-01,0.82024410333333333333
2010-07-01,0.70427847666666666667
2010-10-01,0.77945652333333333333
2011-01-01,1.09000671000000000000
2011-04-01,1.25866603333333333333
2011-07-01,1.6024723666666667
2011-10-01,1.9099771333333333
2012-01-01,2.0862924666666667
2012-04-01,2.2080746333333333
2012-07-01,2.2178182666666667
2012-10-01,2.1709293000000000
2013-01-01,2.1047388666666667
2013-04-01,1.9066159333333333
2013-07-01,1.8908401000000000
2013-10-01,1.8776708666666667
2014-01-01,1.8106191666666667
2014-04-01,2.0989122000000000
2014-07-01,2.0057868666666667
2014-10-01,1.9938367666666667
2015-01-01,1.9889290000000000
2015-04-01,2.0815810333333333
2015-07-01,2.2003728333333333
2015-10-01,2.3983863000000000
2016-01-01,2.5142698000000000
2016-04-01,2.5593518000000000
2016-07-01,2.6435869333333333
2016-10-01,2.5434212333333333
2017-01-01,2.5964553333333333
2017-04-01,2.1822036666666667
2017-07-01,2.1144326666666667
2017-10-01,2.1444406666666667
2018-01-01,2.2224660000000000
2018-04-01,2.5305443333333333
2018-07-01,2.4714816666666667
2018-10-01,2.4520506666666667
2019-01-01,2.3872883333333333
2019-04-01,2.4089693333333333
2019-07-01,2.5656203333333333
2019-10-01,2.7493063333333333
2020-01-01,2.7524606666666667
2020-04-01,2.1229020000000000
2020-07-01,2.2384086666666667
2020-10-01,1.7857816666666667
2021-01-01,1.5836683333333333
2021-04-01,2.4913580000000000
2021-07-01,2.4323036666666667
2021-10-01,3.2446940000000000
2022-01-01,4.2847173333333333
2022-04-01,5.0432406666666667
2022-07-01,6.0032763333333333
2022-10-01,6.4844033333333333
2023-01-01,6.5333169303333333
